Questions,Answer1,Answer1Point,Answer2,Answer2Point,Answer3,Answer3Point,Answer4,Answer4Point
"On A Scale From 1-10, How Good Are You At Keeping A Secret?",10,31,5,28,8,21,9,18
Name The Time Of Night When It’s Too Late To Call Someone’s House.,10,46,12,22,11,18,9,6
Name An Age That People Worry About Turning,40,42,50,31,30,23,60,3
Tell Me A Good Score When Playing 18 Holes Of Golf.,72,40,65,27,80,20,66,9
Name Something That Can Be Spoiled,Milk,56,Food,17,Kids,13,A Surprise,5
What Reason Would Most People Give For Why They Drink Coffee?,Stay Awake,45,Like The Taste,24,Energy,12,Addicted,9
Name A Profession Where You May Receive Lots Of Mail From Strangers.,Celebrity,51,Politician,36,Customer Service,7,Advice Columnist,5
Name Something You Hope To Have Your Seat Near While Riding In A Plane,Window,61,Bathroom,20,Exit,12,Aisle,6
Tell Me Something You Avoid When You Are Sick,Other People,34,Work/ School,29,Eating,25,Alcohol,5
What’s Something You Drink To Make You Warmer?,Coffee,41,Hot Chocolate,36,Tea,16,Alcohol,5
Name A Drink You Get At A Cafe That Most People Can’t Make At Home,Latte,39,Cappuccino,29,Mocha,12,Americano,7
Name A Public Place Where It Is Okay To Yell,Park,46,Concert,19,Sports Event,17,Amusement Park,5
Name A Physical Characteristic That Aliens Are Said To Have,Wide Eyes,48,Big Head,25,Green Skin,18,Antennae,7
What Might A Professional Athlete Do Just After A Sports Game To Avoid Getting Sore Muscles?,Stretch,48,Get A Massage,19,Soak In Hot Tub,8,Apply Ice,7
What Might A Woman Do On A First Date To Make You Suspect He Was An Undercover Cop?,Ask Many Questions,49,Carries A Gun,29,Wears A Badge,10,Ask For ID,6
Name Something A Vacation Brochure Tells You About A Destination,Weather,33,Prices,26,Where To Stay,25,Attractions,5
Name An Occasion Where It’d Be Embarrassing To Show Up Empty Handed.,Wedding,46,Birthday,41,Christmas,7,Baby Shower,5
Name A Reason Why A College Football Player Might Get Kicked Off His Team.,Steroids,55,Fighting,19,Bad Attitude,9,Bad Grades,6
"In A Scary Movie, Name Something Specific That Causes A Character To Scream",Monster,38,Weapon,28,Ghost,21,Bad Guy,4
We Asked 100 Women: What Might You Get 2 Tickets For In Order To Entice Your Crush Into A Date?,Rock Concert,45,Sports Game,29,Opera,9,Ballet,6
Name A Job Where You Must Keep A Certain Haircut.,Police,37,Military,33,Model,14,Barber,13
Name A Sport That People Bet On,Football,55,Horse Racing,32,Boxing,6,Basketball,5
Name Something In A House That A Spoiled Kid Might Have Their Own Of.,TV,41,Computer,27,Phone,14,Bathroom,13
Name Something A Teenage Boy Might Ask His Dad For.,Car,61,Money,30,Advice,2,Bike,2
Name Something That Gets Rolled Out.,Red Carpet,40,Dough,35,Yoga Mat,10,Sleeping Bag,5
Which North Pole Resident Is Most Likely To Become Jealous Of Santa’s Power?,Elf,45,Jack Frost,31,Rudolph,14,Mrs. Claus,8
Where Do You Like To Go Barefoot?,Beach,43,Park,30,Shower,16,Bed,8
Name Something You Try To Prevent From Getting Flat,Tire,40,Hair,33,Soda,20,Beer,5
Whose Phone Number Might A Child Know By Heart?,Emergency Department,49,Home Phone,37,Grandparents,7,Best Friend,3
Name A Reason Why Workers Might Go On Strike.,Better Pay,69,Want Benefits,8,No Contract,6,Better Hours,3
Name Something Permanent On a Criminal’s Skin That Police Use To Be Sure They’ve Got Their Man.,Tattoo,41,Fingerprint,34,Scar,12,Birthmark,9
Name An Animal Associated With A Holiday,Reindeer,36,Turkey,28,Bunny,22,Black Cat,4
Name Something Kids Might Use to Help Them Count.,Fingers,57,Flash Cards,13,Calculator,13,Blocks,3
Name Something From The Laundry That’s Impossible To Fold Neatly.,Fitted Sheets,35,Socks,29,Underwear,15,Blouse,14
Name A U.S. City With Very Aggressive Drivers,New York,54,Los Angeles,22,Chicago,19,Boston,3
Name Something That Would Be Harder To Do If You Lived In Los Angeles,Drive,56,Ski,29,Sleep,7,Breathe,6
Name Something People Forget To Do When In a Hurry To Leave The House.,Lock The Door,43,Turn Off The Lights,30,Grab Keys,13,Brush Teeth,12
"Instead Of Playing With Their Gift, Which Packaging Item Might A Toddler Choose To Play With Instead.",Box,59,Wrapping Paper,17,Bow,12,Bubble Wrap,11
Name Something A Kid Might Want Help Doing On A Snowy Day.,Shoveling,44,Building A Snowman,27,Walking,13,Bundling Up,7
What Might Parents Be Caught Doing That Causes Their Kid To Bust Them For Doing Santa’s Job?,Set Gifts Under Tree,41,Wrapping Gifts,33,Eating Cookies,20,Buying/Hiding Gifts,3
Name A State That You’d Hate To Live In During Summer,Florida,41,Arizona,27,Texas,26,California,5
Name Something That Breaks Easily Without Its Case.,Glasses,40,CD,29,Musical Instrument,22,Camera,4
Name Something That Comes With A Hood,Coat,41,Car,37,Sweatshirt,18,Cape,3
"Name Something A Parent Tries, To Get Their Baby To Sleep.",Singing,51,Rocking,32,Warm Milk,9,Car Ride,6
"Name Something That’s Legal For A Police Officer To Do, But Not For Anyone Else",Speed,63,Arrest Someone,21,Run Red Lights,8,Carry/ Use Gun,7
Name Something That Often Looks Better In Advertised Pictures Than In Real Life.,Food,56,Clothes,20,People,14,Cars,8
"Name An Animal Whose Print Looks Natural On Them, But Gaudy When Your Neighbor Wears It",Leopard,50,Zebra,29,Tiger,13,Cheetah,7
Name Something You Only Consume When You Go To A Fast Food Restaurant.,French Fries,52,Burger,36,Milkshake,5,Chicken Nuggets,4
Name The Person Who You Most Try To Avoid Having An Argument With.,Partner,47,Parent,36,Boss,8,Child,3
Name A Safety Device That Older Cars Didn’t Have,Air Bags,38,Seat Belts,34,Anti Lock Break,10,Child Locks,6
Name An Occupation That People Consider Caring,Nurse,44,Doctor,23,Teacher,13,Childcare Provider,12
Name A Place You Visit Where You Aren’t Allowed To Touch Anything.,Museum/Gallery,68,Zoo,20,Gentleman’s Club,5,China Shop,5
We Asked 100 Women: Name A Gift That You’d Always Be Happy To Get From Your Partner.,Flowers,43,Jewelry,29,Money,13,Chocolate,3
"Name A Gift That Would Be Romantic To Get From Your Husband, But Creepy To Get From Your Father-In_Law.",Lingerie,44,Flowers,29,Jewelry,23,Chocolates,3
What Is The Most Important Thing To Do When Planning A Valentine’s Day Date?,Get Flowers,44,Make Reservations,34,Buy Gift,14,Choose The Place,6
Tell Me A Way To Say Hi In Another Language,Hola,55,Bonjour,21,Aloha,13,Ciao,5
Name An Item You Associate With The Word Expensive,Car,53,Jewelry,26,House,13,Clothes,5
In Which Profession Might You Have A Large Assortment of Wigs?,Actor,42,Hair Stylist,36,Model,11,Clown,6
Name Something You Mix With Water Before Drinking,Kool Aid,39,Tea,32,Juice Concentrate,14,Coffee,11
Name Something Provided In Some Waiting Rooms To Help Pass The Time,Reading Material,49,TV,31,Music,10,Coffee,4
Name A Holiday That Most People Don’t Get Off From Work.,President’s Day,40,Martin Luther King,26,Valentine’s Day,18,Columbus Day,11
How Do You Know That You’re Tuned Into A Country Radio Station?,Instruments,54,Announcer’s Voice,25,Sad Songs,12,Commercials,7
Name Something Some People Blast The Volume On,Stereo,52,TV,25,Headset,6,Computer,3
Name Something Of Dad’s That Kids Aren’t Allowed To Use,Car,34,Tools,31,Razor,29,Computer,4
Name Something A Losing Sports Team Does To The Winners To Show Good Sportsmanship,Shake Hands,44,High Five,36,Clap,10,Congratulate,8
Name A Place In The Car Where People Hide Their Valuables.,Glove Box,48,Trunk,34,Under Seat,13,Console,3
Name Something That Can Be Inconvenient To Do While Camping.,Use Bathroom,44,Bathe,25,Sleep,11,Cook,10
Name Something Parents Warn Their Children Not To Get Their Fingers Caught In.,Door,45,Fan,29,Outlet,13,Cookie Jar,6
Name Something A Fast Food Restaurant Offers As A Dessert,Ice Cream,53,Pie,31,Cake,9,Cookies,4
"Instead Of Money, What Might Santa Give His Reindeer As Pay?",Carrots,48,Presents,32,Deer Feed,10,Cookies,5
"If A Person Is Raised On A Farm, Name Something You Expect Them To Be Better At",Milking Cows,66,Riding Horses,18,Gardening,10,Cooking,4
Name Something A Radio DJ Might Accidentally Do If He Didn’t Know He Was On The Air.,Swear,57,Burp,21,Lose Temper,6,Cough,5
Name Something That Chili May Come With Or Without.,Beans,57,Cheese,18,Meat,13,Crackers,10
Name A Word Or Phrase Used To Describe Milk That’s Past Its Expiration Date.,Sour,41,Old,29,Rotten,18,Curdled,8
Name Something You Close At Nighttime.,Bedroom Doors,33,Eyes,31,Window,12,Curtains,10
Name Something About A Person That Might Be Described As Funky,Hair,54,Smell,24,Clothes,15,Dancing,3
Name a Phrase That Begins With The Word “Double.”,Trouble,52,Jeopardy,24,Dutch,11,Dare,10
Name Some Activities People Do On Christmas That They Don’t Do On Other Holidays?,Exchange Gifts,42,Sing,30,Go To Church,22,Decorate,4
What’s The Messiest Thing To Clean Up After The Christmas Holiday?,Kitchen,48,Tree,27,Wrapping Paper,15,Decorations,5
"If You Could Only Pack A Small Overnight Bag, What Specific Essentials Would Be In It?",Toothbrush/Paste,54,Underwear,32,Make up,7,Deoderant,5
Name A Diet Method That Doesn’t Seem Very Reliable.,No Carb Diet,36,Fasting,28,Diet Pills,19,Diet Shakes,9
Name Something That Smells Really Bad When On Fire,Hair,47,Plastic,28,Rubber,12,Dinner,8
Name Something A Woman Calls A Party’s Host To Ask,What Time,33,What To Wear,24,What To Bring,19,Directions,10
Where Do You Need To Be A Member In Order To Enter?,Gym,44,Country Club,36,Golf Course,15,Discount Grocery,3
What Activity Don’t You Start Doing Until The Water Gets Warm?,Bathing,62,Swimming,18,Cooking,14,Dishes,6
Name An Animal That You Can Ride At The Circus,Elephant,71,Horse,18,Camel,5,Donkey,4
"Other Than Looking Up Numbers, Name Something A Phone Book Gets Used For",Find Addresses,50,Booster Seat,36,Maps,7,Door Stop,5
Name A Talk Show Host Who Many People Respect,Oprah Winfrey,56,Jay Leno,26,David Letterman,8,Dr Phil,5
"Besides Dancing, Name Something People Do On The Dance Floor",Talk,33,Sing,26,Kiss,24,Drink,14
"If You Got To Be Fearless For One Day, Name The First Thing You’d Try",Sky Diving,52,Fly,28,Bungee Jumping,10,Driving A Race Car,5
Name A Place That Closes Early For A Person To Run Errands After Work.,Bank,47,Post Office,33,Market,11,Dry Cleaners,7
Name A Part Of Your Body That Feels Stuffed UP When You Have A Cold.,Nose,55,Head,36,Chest,4,Ears,3
Name A Wedding Gift That The Bride And Groom Can Never Have Too Much Of,Money,43,Towels,23,Dishes,16,Eating Utensils,5
